,Form,date,url
56,8-K,2017-08-18,https://www.sec.gov/Archives/edgar/data/0000320193/000119312517262261/d593893d8k.htm
57,8-K,2017-08-01,https://www.sec.gov/Archives/edgar/data/0000320193/000032019317000006/a8-kq32017712017.htm
58,8-K,2017-06-20,https://www.sec.gov/Archives/edgar/data/0000320193/000119312517208226/d413980d8k.htm
59,8-K,2017-05-24,https://www.sec.gov/Archives/edgar/data/0000320193/000119312517181867/d583637d8k.htm
60,8-K,2017-05-11,https://www.sec.gov/Archives/edgar/data/0000320193/000119312517167400/d388721d8k.htm
61,8-K,2017-05-02,https://www.sec.gov/Archives/edgar/data/0000320193/000162828017004663/a8-kq22017412017.htm
62,8-K,2017-03-03,https://www.sec.gov/Archives/edgar/data/0000320193/000119312517069853/d348450d8k.htm
63,8-K,2017-03-01,https://www.sec.gov/Archives/edgar/data/0000320193/000119312517064019/d342218d8k.htm
64,8-K,2017-02-09,https://www.sec.gov/Archives/edgar/data/0000320193/000119312517036283/d340350d8k.htm
65,8-K,2017-01-31,https://www.sec.gov/Archives/edgar/data/0000320193/000162828017000663/a8-kq1201712312016.htm
66,8-K,2016-12-15,https://www.sec.gov/Archives/edgar/data/0000320193/000162828016022047/form8-k121316.htm
67,8-K,2016-10-25,https://www.sec.gov/Archives/edgar/data/0000320193/000162828016020258/a8-kq420169242016.htm
68,8-K,2016-08-04,https://www.sec.gov/Archives/edgar/data/0000320193/000119312516672044/d234980d8k.htm
69,8-K,2016-07-26,https://www.sec.gov/Archives/edgar/data/0000320193/000162828016017762/a8-kq320166252016.htm
70,8-K,2016-06-22,https://www.sec.gov/Archives/edgar/data/0000320193/000119312516628957/d209946d8k.htm
71,8-K,2016-04-26,https://www.sec.gov/Archives/edgar/data/0000320193/000119312516556520/d325078d8k.htm
72,8-K,2016-03-24,https://www.sec.gov/Archives/edgar/data/0000320193/000119312516516891/d161597d8k.htm
73,8-K,2016-03-01,https://www.sec.gov/Archives/edgar/data/0000320193/000119312516488223/d150918d8k.htm
74,8-K,2016-02-23,https://www.sec.gov/Archives/edgar/data/0000320193/000119312516473562/d143184d8k.htm
75,8-K,2016-01-26,https://www.sec.gov/Archives/edgar/data/0000320193/000119312516438421/d22806d8k.htm
76,8-K,2015-12-22,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515410853/d55543d8k.htm
77,8-K,2015-12-17,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515406279/d107635d8k.htm
78,8-K,2015-10-27,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515354756/d74332d8k.htm
79,8-K,2015-10-02,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515336615/d10101d8k.htm
80,8-K,2015-09-17,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515322466/d31615d8k.htm
81,8-K,2015-07-31,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515273023/d12789d8k.htm
82,8-K,2015-07-21,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515258464/d927923d8k.htm
83,8-K,2015-06-10,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515219298/d938654d8k.htm
84,8-K,2015-05-13,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515186064/d923398d8k.htm
85,8-K,2015-04-27,https://www.sec.gov/Archives/edgar/data/0000320193/000119312515149607/d914157d8k.htm
